PNR,HFAUDD,year
54134794,7900,2015
88936891,5811,2015
50553497,8843,2015
44083219,8901,2015
24827763,7160,2015
22022786,6810,2015
16512550,6494,2015
65810575,5856,2015
34921503,7970,2015
25818740,8840,2015
75242115,3162,2015
11793810,8853,2015
62101998,8305,2015
79313396,9465,2015
34718666,7754,2015
46335782,8807,2015
93834230,8887,2015
53663708,8957,2015
79313112,0154,2015
52214358,8352,2015
12888168,7935,2015
07098704,9264,2015
92507320,8828,2015
80409275,9487,2015
46263410,8553,2015
25942033,5839,2015
47687812,7138,2015
49125129,9047,2015
45786537,3345,2015
30255485,8601,2015
46415359,8818,2015
72899009,8837,2015
45877278,5308,2015
88361862,5942,2015
29063528,3089,2015
53718044,3134,2015
30122908,0176,2015
96253459,3096,2015
80529790,3224,2015
54543075,7950,2015
71330303,8306,2015
04214550,6800,2015
63388718,5308,2015
62456021,6746,2015
00755644,3035,2015
60231954,5729,2015
74569421,6262,2015
33242353,7133,2015
49070736,7155,2015
02997849,8322,2015
20014747,8345,2015
04252459,0726,2015
18125583,6800,2015
61283829,3126,2015
98787864,6930,2015
22084923,9668,2015
05874539,8855,2015
60862902,8670,2015
67147071,8849,2015
97182710,5449,2015
66635579,8863,2015
60514551,3163,2015
18730350,6456,2015
06005543,0620,2015
77346929,8913,2015
23126058,7335,2015
34838939,8341,2015
19633108,8257,2015
57705538,7116,2015
06201009,6890,2015
37421377,7063,2015
60463620,8082,2015
03647997,9518,2015
69042522,3125,2015
51792206,5454,2015
27553059,8623,2015
98280831,3029,2015
66483903,8887,2015
24355038,8257,2015
89781676,7190,2015
94689871,3078,2015
04325487,6804,2015
39577424,3030,2015
64539827,5623,2015
21884122,8118,2015
10936768,5875,2015
35142198,5714,2015
58729746,9398,2015
13082127,8325,2015
49454878,5128,2015
39153286,3127,2015
12902996,3224,2015
99582836,8864,2015
62396045,3278,2015
88993470,6880,2015
22072912,7958,2015
46439203,3224,2015
80858016,8368,2015
38579353,8095,2015
96436180,3314,2015
18866685,9465,2015
55795790,5907,2015
32997483,9487,2015
69049027,8321,2015
23076202,6561,2015
84125116,8937,2015
20890079,8866,2015
49261794,8972,2015
03495641,8332,2015
73562628,6105,2015
78689267,6825,2015
67338601,0170,2015
37266935,8296,2015
58395406,7365,2015
44342079,5770,2015
85152466,3147,2015
27833844,3024,2015
18953498,7952,2015
57709246,3097,2015
61308238,8381,2015
84567591,5716,2015
82572292,8875,2015
09836172,5596,2015
10563107,7090,2015
51524947,9122,2015
11926404,6564,2015
78469435,8506,2015
41819491,6822,2015
24963824,6672,2015
90160647,5839,2015
62598158,3126,2015
88799549,0729,2015
06818675,5118,2015
83547463,6991,2015
02757668,5589,2015
89624447,8837,2015
48293802,5995,2015
13556037,5857,2015
77947820,6458,2015
06914379,6401,2015
31860029,6313,2015
83478293,8329,2015
45810341,7901,2015
13320707,8927,2015
34289325,8902,2015
74956361,5385,2015
77075325,8272,2015
35768127,5963,2015
86334010,7190,2015
55655442,9122,2015
13622634,8822,2015
68777229,0680,2015
28033242,8902,2015
53097752,8861,2015
07044408,9490,2015
72128413,3314,2015
58531738,8889,2015
72175716,6861,2015
61713846,9430,2015
12846471,6296,2015
04287166,5667,2015
43635135,8018,2015
39098659,8970,2015
54017571,0729,2015
40080180,6064,2015
90620520,7335,2015
30245080,5798,2015
85617269,5899,2015
12361157,8440,2015
79916338,9050,2015
37425935,7045,2015
22685174,8253,2015
13078261,3047,2015
44346823,5127,2015
72585942,6823,2015
25628977,8326,2015
88818116,5385,2015
71898597,3060,2015
40806052,6285,2015
52897685,8325,2015
08540396,8835,2015
15874140,8856,2015
30909463,8368,2015
37651228,7133,2015
75770960,3077,2015
54686765,9430,2015
50138172,9686,2015
08925887,0806,2015
82500850,6040,2015
97562568,3134,2015
62112522,6399,2015
01877244,8979,2015
51802753,9395,2015
71742802,8322,2015
85541967,5952,2015
87352692,3026,2015
42251113,8875,2015
15426368,9504,2015
09939401,7862,2015
82704851,8306,2015
28726432,3104,2015
77805152,8375,2015
42246166,3095,2015
18607399,8930,2015
77950562,3097,2015
13647169,5756,2015
95588414,6399,2015
91268086,5749,2015
90088810,8840,2015
86744772,7943,2015
61113946,6313,2015
02671048,8861,2015
52937030,6417,2015
43445549,9047,2015
11002767,5741,2015
11677539,3330,2015
78932494,0162,2015
80614965,8837,2015
23708545,8079,2015
40637296,7862,2015
29999228,6321,2015
02866034,7841,2015
87346212,8253,2015
78784654,9518,2015
06183312,4800,2015
14316449,8114,2015
94260821,8322,2015
70143478,3139,2015
35200733,6297,2015
61759944,4713,2015
47187985,8368,2015
97024129,8511,2015
86969048,5310,2015
41510555,7140,2015
75772733,0729,2015
20609119,7090,2015
49174480,8381,2015
79419752,3314,2015
01176570,8623,2015
68791122,8906,2015
85965708,8828,2015
90802858,6823,2015
04734893,8956,2015
07109164,9264,2015
73563448,8329,2015
68637286,5403,2015
53222067,8863,2015
00935576,6105,2015
43175661,6991,2015
09348724,8853,2015
89357773,6417,2015
80459099,7232,2015
62840326,0176,2015
17864755,5597,2015
12123332,9264,2015
93423268,8897,2015
06485425,8205,2015
22916037,8957,2015
23801141,7045,2015
05406397,8097,2015
19112484,8907,2015
99847359,8205,2015
30814699,8828,2015
30004395,8380,2015
49210174,7138,2015
47663139,3004,2015
65155814,6418,2015
90696474,5237,2015
42590873,6766,2015
02692327,9057,2015
69776050,5841,2015
16595805,0726,2015
65659332,3147,2015
64089449,8843,2015
51666777,7140,2015
64171231,9400,2015
39866300,8167,2015
37286930,7090,2015
14525889,8333,2015
44208455,3160,2015
79190731,8833,2015
55308596,7335,2015
44671017,8818,2015
60515641,9518,2015
83363797,8876,2015
36653501,5243,2015
27896688,5623,2015
11328072,9037,2015
01827614,5962,2015
26600013,9264,2015
46666702,9398,2015
44129821,8381,2015
39732845,5913,2015
13102001,8969,2015
21692395,6125,2015
13541688,0729,2015
80355885,8073,2015
63311802,8822,2015
54732656,5680,2015
61672053,6599,2015
83846598,5333,2015
18011367,9041,2015
77787434,9585,2015
64450225,8311,2015
82559436,5681,2015
18285406,5875,2015
31366406,8290,2015
33883426,5268,2015
47941673,8944,2015
71014102,3309,2015
76654153,5535,2015
12094410,7183,2015
20182819,8375,2015
18552402,6424,2015
96220545,5726,2015
17058549,8820,2015
56043289,5484,2015
47582867,8095,2015
36882339,5963,2015
32477728,8841,2015
88036141,8026,2015
24971684,5682,2015
73278835,5757,2015
49717628,5341,2015
70281375,5839,2015
06231763,8843,2015
87093214,3099,2015
44725369,9394,2015
65232476,5985,2015
11146214,7045,2015
21688053,9414,2015
91986029,5127,2015
52061671,8234,2015
47557964,8863,2015
32860396,8871,2015
93069998,6297,2015
87091327,0172,2015
70226969,8846,2015
10898388,8836,2015
84954347,5962,2015
91081858,3100,2015
29307299,5597,2015
85713831,3151,2015
92108404,0156,2015
37772562,5597,2015
78525021,8864,2015
19530111,3147,2015
08755453,8803,2015
57102419,7362,2015
03546491,6853,2015
34812427,8889,2015
71507709,5839,2015
21007646,8353,2015
85780586,6413,2015
88893119,3314,2015
28875873,8366,2015
29807644,8317,2015
96486314,3162,2015
68550871,8818,2015
87493433,5822,2015
51067892,5620,2015
66067125,7916,2015
37865098,5465,2015
33019533,8510,2015
34276822,8875,2015
05117118,5956,2015
25439477,7045,2015
54550081,8861,2015
13215384,0725,2015
05557266,5651,2015
48124706,6740,2015
53152609,7365,2015
11103264,0630,2015
85398865,5597,2015
39351820,8837,2015
57933869,8871,2015
74198139,3160,2015
63807258,8979,2015
26019633,8263,2015
86395795,9398,2015
07373580,8624,2015
54848962,9049,2015
44003302,5465,2015
97489160,5822,2015
54406221,9707,2015
71312234,8832,2015
72100443,5758,2015
00502104,6184,2015
54705164,8887,2015
60374729,8368,2015
07878114,7902,2015
56835723,8937,2015
55701797,6590,2015
28536355,6804,2015
74292254,8832,2015
13301236,7045,2015
04292193,3345,2015
24196317,6906,2015
99596345,9390,2015
64860773,3943,2015
90535663,6047,2015
41484067,9398,2015
22300946,9404,2015
61950155,8812,2015
23918515,7133,2015
23286207,7362,2015
74446308,9518,2015
66270558,3060,2015
57960083,3004,2015
61604281,7427,2015
08079447,3810,2015
38656539,8381,2015
63747308,8039,2015
16721816,5710,2015
49520744,8899,2015
38354166,7220,2015
10665975,7045,2015
61594113,9047,2015
72790309,5226,2015
23116865,8912,2015
62267746,5823,2015
45474031,5797,2015
89747504,5651,2015
77070928,3330,2015
88440852,8332,2015
92074957,0176,2015
87938402,8330,2015
43184705,6558,2015
20835079,8902,2015
66014680,0600,2015
78807706,3095,2015
67616073,9556,2015
26350361,8906,2015
35716189,7133,2015
56891193,7752,2015
22583607,8887,2015
80861754,3317,2015
51513885,9430,2015
09422085,8892,2015
94523366,5757,2015
95631566,8887,2015
29595229,3077,2015
53698650,0707,2015
73807073,8311,2015
18105421,7951,2015
43432613,6408,2015
47198474,5226,2015
54556892,7065,2015
66843902,8918,2015
37956398,8502,2015
26240682,5435,2015
94329856,8892,2015
79644856,7140,2015
93591580,9430,2015
15634432,5327,2015
59420264,3307,2015
97554350,8903,2015
03033224,8887,2015
26134031,7854,2015
75856997,5359,2015
97356671,6424,2015
36819541,8955,2015
69214011,8971,2015
10545303,3224,2015
08058793,5593,2015
28186954,6425,2015
17415088,5788,2015
01641452,3810,2015
96858039,8364,2015
51036280,7090,2015
41518965,8168,2015
60527116,3088,2015
45417582,3103,2015
96266320,8375,2015
98139214,5597,2015
15112677,8889,2015
43685959,3146,2015
52860101,9400,2015
08994921,9717,2015
66974255,6420,2015
56638631,8444,2015
86665470,9038,2015
72546900,3153,2015
58306878,5677,2015
38933707,5620,2015
90758263,6399,2015
81749546,9481,2015
17326086,5717,2015
87154154,6002,2015
42367681,8211,2015
72483080,5472,2015
62076716,8892,2015
14212869,7754,2015
75031296,7133,2015
27249750,6000,2015
65959275,3109,2015
10664379,8330,2015
38574281,3005,2015
53665221,5846,2015
71296723,3154,2015
79944231,5616,2015
25638494,8833,2015
77717625,8818,2015
01930401,9584,2015
04630398,8873,2015
13148529,8979,2015
64468370,5839,2015
48426173,9414,2015
28160835,0173,2015
70419100,8897,2015
77659604,9049,2015
06057350,5620,2015
19541054,5667,2015
32849396,5964,2015
74671998,5839,2015
71571022,5729,2015
28185387,6810,2015
61956380,7230,2015
05342961,8822,2015
34587990,5968,2015
03194519,5171,2015
51163594,7063,2015
59427658,3099,2015
92946025,9465,2015
20065321,8944,2015
89717077,5743,2015
19605363,3025,2015
57449587,8211,2015
94289318,8655,2015
48230942,8972,2015
85118191,3101,2015
81572886,7335,2015
95557699,5451,2015
34949350,8969,2015
36335972,6744,2015
08208320,9054,2015
24221554,8311,2015
93742148,6564,2015
18350639,8095,2015
43039708,6384,2015
73793763,9052,2015
73572690,6991,2015
49165172,5454,2015
40117765,8912,2015
83039912,6742,2015
63311475,8956,2015
71632920,0151,2015
57988853,8300,2015
64637481,5615,2015
07275111,8912,2015
72368339,3045,2015
05788761,8919,2015
54312787,3158,2015
26086511,6508,2015
65404240,3153,2015
15581897,8811,2015
67089167,5454,2015
20098832,5657,2015
04405084,6740,2015
90649434,6103,2015
64237577,5831,2015
08171076,9122,2015
11252274,8522,2015
29450757,8846,2015
89849506,8095,2015
55278474,6426,2015
67500129,7324,2015
89297335,8892,2015
21372134,6420,2015
32017058,6714,2015
59329383,8875,2015
03946781,8363,2015
95447646,8368,2015
91754611,8889,2015
58701182,9264,2015
55997204,8970,2015
30759460,9390,2015
86466045,3005,2015
74827363,3014,2015
21874460,5247,2015
30448018,7090,2015
40946478,8245,2015
36839271,8041,2015
56474789,8813,2015
44132888,8073,2015
11894522,8876,2015
88185693,6125,2015
56100036,3076,2015
83306204,5364,2015
34343202,5113,2015
95674476,6064,2015
90675095,3004,2015
86983224,8386,2015
16916873,6714,2015
37490477,8875,2015
15242785,6839,2015
27227623,9465,2015
78733747,7133,2015
38312368,5620,2015
92952161,5486,2015
97343395,5844,2015
91582393,0151,2015
38585533,3103,2015
76889421,9041,2015
90086229,8836,2015
53593157,6640,2015
22835542,7365,2015
88661573,5680,2015
21395393,3076,2015
14456973,8231,2015
63973700,8889,2015
54785552,3334,2015
35650191,5816,2015
31685977,8322,2015
60070622,9490,2015
60878164,8118,2015
19905171,8899,2015
82695732,3125,2015
33409330,9049,2015
12812269,8882,2015
85712735,5943,2015
38335679,9122,2015
73583646,8852,2015
54254041,7183,2015
93090653,5533,2015
97253827,8915,2015
76831766,3099,2015
66958962,5749,2015
79712204,8999,2015
24718181,5592,2015
25386639,9391,2015
18738452,6425,2015
33617705,8883,2015
09163292,5620,2015
57502631,8868,2015
73526943,8828,2015
00523839,5458,2015
58370552,7030,2015
54562627,8832,2015
38123325,8837,2015
69383131,9404,2015
40176398,9047,2015
68438990,6420,2015
35837784,9054,2015
58514799,9404,2015
11973702,8018,2015
72849145,5954,2015
48721311,8149,2015
07069919,6064,2015
64790466,5403,2015
77190170,0721,2015
31354424,5674,2015
98774035,8211,2015
15805159,8867,2015
39480747,3152,2015
99836472,6424,2015
60052741,8263,2015
72412553,7170,2015
58816415,7140,2015
82846670,3345,2015
95125338,7933,2015
09574526,7183,2015
41159762,0810,2015
80377836,8118,2015
68420632,7045,2015
54015264,3972,2015
00764732,6398,2015
80088462,8849,2015
04559054,8906,2015
16976888,5620,2015
85337060,9038,2015
28897244,6803,2015
06863049,5533,2015
63698973,8837,2015
72112810,8937,2015
94908727,8306,2015
53089394,6564,2015
60774001,6399,2015
42481399,7090,2015
43188988,9035,2015
71135712,8326,2015
40156565,3314,2015
49253975,8971,2015
85139697,7065,2015
87190185,0695,2015
72126645,3020,2015
53145510,5445,2015
16040932,8995,2015
83356720,8882,2015
47174172,6823,2015
73117512,8081,2015
67764815,3020,2015
17625588,3355,2015
98812119,3331,2015
07524468,0675,2015
01090627,3005,2015
26745681,9430,2015
71823337,8309,2015
51457867,8228,2015
83859872,3060,2015
23353778,5722,2015
77110188,5823,2015
79365411,8866,2015
09530403,0721,2015
10214203,8849,2015
51774090,8813,2015
36304835,5758,2015
20507445,8081,2015
23840837,8095,2015
78740947,7946,2015
19718365,5271,2015
84787502,8228,2015
92803119,8375,2015
01006047,6270,2015
51274461,8314,2015
69100842,9490,2015
34399662,8601,2015
36586832,8955,2015
69178637,7160,2015
42559205,7070,2015
33272249,7116,2015
10254611,9390,2015
46480696,8916,2015
62340602,8095,2015
61635264,8863,2015
34882789,8902,2015
08409678,0725,2015
92657290,3039,2015
00448117,6865,2015
12776250,8311,2015
95998917,8896,2015
76066610,3134,2015
53002334,0706,2015
72551999,6599,2015
07336659,7132,2015
71524590,8275,2015
69701729,5945,2015
17958006,5237,2015
46679441,8257,2015
11502336,8076,2015
30417600,7335,2015
21954142,8381,2015
85542994,8092,2015
47374950,8818,2015
72151225,7970,2015
17444270,5616,2015
59618503,8810,2015
52163672,5463,2015
91250805,0173,2015
67598243,8019,2015
33989173,8870,2015
98850487,3345,2015
14463220,3047,2015
08059717,8306,2015
62057049,0173,2015
45111338,3125,2015
73899490,0721,2015
66827260,6930,2015
65232014,8820,2015
59381157,8235,2015
17925462,8321,2015
26887765,8849,2015
86226207,6614,2015
42053740,8368,2015
55661751,3019,2015
81672172,6599,2015
26773134,5508,2015
10142927,3134,2015
49936213,8360,2015
64402024,8856,2015
23321139,8832,2015
98615097,6458,2015
04331370,8896,2015
62951415,8868,2015
02936323,7365,2015
67231481,9038,2015
14226823,8994,2015
23180113,3087,2015
28264017,3309,2015
11274014,6125,2015
08530140,8970,2015
79449343,8019,2015
12270625,5844,2015
21112395,6137,2015
50198455,5449,2015
62202135,3278,2015
46310833,6494,2015
04283212,8148,2015
31156837,8915,2015
63949130,0725,2015
36705419,7602,2015
90628279,8381,2015
10251167,6130,2015
01234194,5974,2015
59176054,5839,2015
57387423,5839,2015
02114522,8296,2015
83960935,9395,2015
47789362,3158,2015
98186661,3035,2015
00585802,3091,2015
22597484,3005,2015
50733513,5802,2015
73524357,6813,2015
81424388,3121,2015
87665885,3331,2015
97534552,8887,2015
32525954,8332,2015
21238082,5681,2015
73904349,8625,2015
35335624,8205,2015
89535163,5589,2015
03297802,6137,2015
80716193,8958,2015
78577809,0164,2015
24075124,8828,2015
64550757,7945,2015
19441613,7427,2015
69429235,5489,2015
25661608,6130,2015
26658112,8073,2015
88453084,3330,2015
55046484,3106,2015
06399064,9465,2015
28879880,8554,2015
05655264,3147,2015
97582999,6823,2015
56468070,4801,2015
46598208,5237,2015
58089384,6742,2015
48932557,3331,2015
90480742,8316,2015
61642225,0709,2015
97708438,3095,2015
82226256,5457,2015
52034813,9339,2015
60884232,7365,2015
83872363,6266,2015
65615233,5277,2015
06875177,5550,2015
45610881,8937,2015
21115503,6744,2015
81047650,8852,2015
68069692,0690,2015
90860435,8305,2015
84210761,7133,2015
20133527,7952,2015
16990023,3000,2015
34550139,8839,2015
78286421,8822,2015
94518915,6861,2015
00236370,8235,2015
12444961,5798,2015
18371441,5657,2015
99506262,8149,2015
71125441,8958,2015
87099453,3336,2015
72736487,8380,2015
66401892,9518,2015
17521433,8341,2015
35810136,3119,2015
72167085,8835,2015
14574816,8956,2015
77043471,8347,2015
85638265,5822,2015
27492813,9410,2015
70134194,7754,2015
38482865,8866,2015
90634540,8876,2015
44813041,6322,2015
65789047,8526,2015
81224980,7752,2015
17302868,8979,2015
59778500,3334,2015
64918586,3119,2015
55483591,3134,2015
57931078,8813,2015
05727299,5153,2015
53071577,8321,2015
43995305,8368,2015
32395727,8415,2015
36453160,8186,2015
25659075,4735,2015
89579410,7970,2015
99173049,0680,2015
32566968,5114,2015
63907212,6380,2015
57167797,3336,2015
02731997,8300,2015
04658550,8807,2015
19602850,5385,2015
07747619,8556,2015
70062819,8912,2015
04743726,6001,2015
83343115,5534,2015
83344389,3041,2015
38793199,5615,2015
93243605,9668,2015
09671974,7752,2015
59572383,6007,2015
10465901,7045,2015
77674967,3035,2015
24983334,8971,2015
93957343,7140,2015
17778949,8838,2015
38301711,6744,2015
84582698,7030,2015
46892340,3055,2015
96645678,5248,2015
08266828,9430,2015
36736994,5465,2015
41611860,6424,2015
72815284,9465,2015
06474117,9518,2015
27223677,5958,2015
00255854,5226,2015
51936856,3341,2015
96540800,5592,2015
67411777,5937,2015
99339562,6426,2015
18013130,3158,2015
82505963,7362,2015
12854816,9057,2015
34877417,3086,2015
46845930,3778,2015
85120193,8969,2015
60497926,8369,2015
53637928,3020,2015
23966516,0176,2015
14113462,8999,2015
18897584,6313,2015
28685514,5912,2015
80511538,6822,2015
43506456,5535,2015
52202048,8931,2015
44368991,6409,2015
61812643,9416,2015
31158796,0170,2015
49083828,0600,2015
47958651,8889,2015
48066061,3125,2015
34780137,0630,2015
74714823,5680,2015
38706433,5359,2015
36989048,8937,2015
81315686,6064,2015
72433462,3091,2015
13232251,8633,2015
11584152,9414,2015
46435705,8019,2015
96453520,3217,2015
22607279,8256,2015
82648282,6746,2015
04745492,7070,2015
32390349,9514,2015
59295362,6408,2015
54713486,8955,2015
33628753,6296,2015
46616907,8954,2015
73351039,5494,2015
74990265,8363,2015
15273799,6137,2015
99683845,8889,2015
82151201,7183,2015
66453880,5717,2015
14337753,8813,2015
55763499,0695,2015
77640389,3158,2015
17048530,5552,2015
83809378,7187,2015
78044474,8956,2015
48035232,5844,2015
25245342,0179,2015
93874353,7365,2015
85917634,7365,2015
31182306,8892,2015
36419927,0726,2015
85578126,9404,2015
46918144,8370,2015
81485682,8944,2015
56936856,7109,2015
32993983,3146,2015
57502903,0630,2015
68763737,8971,2015
34162285,8969,2015
89885004,9717,2015
33474976,8810,2015
58066442,7415,2015
43718896,8306,2015
52517580,6726,2015
24890708,3221,2015
94251871,6399,2015
22989844,5798,2015
98371357,6818,2015
23055697,7070,2015
28514311,3166,2015
80917606,6718,2015
72511403,8977,2015
20264028,8326,2015
81446104,8903,2015
83339931,6716,2015
28395001,0173,2015
48196189,9339,2015
53103926,3020,2015
76459746,8359,2015
59964478,7362,2015
67893934,8902,2015
53074705,0729,2015
54363981,8843,2015
60496321,5364,2015
36462529,5975,2015
76486661,9398,2015
29310670,9258,2015
86600666,8094,2015
97707384,5658,2015
85266186,8823,2015
11362324,6681,2015
95587507,8907,2015
84067925,3314,2015
62163336,7133,2015
52400894,9174,2015
57779716,9430,2015
87450158,8825,2015
52389002,8995,2015
38065414,7970,2015
92613221,7754,2015
86198034,3104,2015
41654601,8333,2015
86256520,9122,2015
78022977,9686,2015
93332117,0620,2015
75778120,5338,2015
39307592,6505,2015
74342743,8368,2015
32962396,7952,2015
48967718,6417,2015
